name,address,lat,lon
Subway,"5919 Perth St., Unit 200, Richmond, ON, K0A2Z0",45.2009,-75.8289
Subway,"1642 Merivale Road Unit 60, Merivale Mall, Merivale Mall, Ottawa, ON, K2G4A1",45.3451,-75.7312
Subway,"475 Vanier, Bldg. H, Aylmer, QC, J9J 3H8",45.4147,-75.8087
Subway,"3141 Strandherd Drive, Unit 2, Strandherd Crossing, Ottawa, ON, K2J 5N1",45.2752,-75.72
Subway,"665 River Road, Unit 107, Gloucester, ON, K1V2G2",45.2695,-75.6992
Subway,"3987 Riverside Drive, Unit #6, Hunt Club Marketplace, Ottawa, ON, K1V 1C1",45.3336,-75.6925
Subway,"4456 Limebank Road, Unit 9, Ottawa, ON, K1X 1E8",45.2882,-75.6721
Subway,"1000 Airport Parkway Private, Ottawa Macdonald Intl Airport, Ottawa, ON, K1V 9B4",45.3224,-75.667
Subway,"3332 McCarthy Rd, Quickie Convenience Stores, Ottawa, ON, K1V 0H9",45.351,-75.6703
Subway,"5511 Main St, Unit 6, Manotick Plaza, Monotick, ON, K4M 1A3",45.2267,-75.6866
Subway,"4792 Bank Street, Unit A002, Findlay Creek Shopping Centre, Ottawa, ON, K1T 3W5",45.3185,-75.594
Subway,"2600 County Road 43, Unit 0013, Kemptville Mall, Kemptville, ON, K0G 1J0",45.0186,-75.656
Subway,"309 Colonnade Drive, Unit 100, Building CRU6, Kemptville Colonnade, Kemptville, ON, K0G 1J0",45.0295,-75.6339
Subway,"542 St Lawrence St, Mac's C-Store, Winchester, ON, K0C 2K0",45.0904,-75.3518
Subway,"48 Beckwith St N, Smith Falls, ON, K7A 2B3",44.9012,-76.0216
Subway,"107 Lombard Street, South Unit, Pizza Hut/SUBWAY, Smith Falls, ON, K7A 5B8",44.8931,-76.0292
Subway,"1111 Champlain St, Subway/Valero C-Store, OGDENSBURG, NY, 13669",44.7004,-75.4624
Subway,"685 Notre Dame Street, Unit 1, Embrun, ON, K0A 1W1",45.2679,-75.3081
Subway,"121 Main Street, East End Plaza, Morrisburg, ON, K0C 1X0",44.9018,-75.181
Subway,"525 McNeely Avenue, Unit 4, Carleton Place Colonnade, Carleton Place, ON, K7C 4M7",45.1324,-76.1205
Subway,"124 Coleman St, Carleton Place, ON, K7C 4M7",45.1357,-76.135
