rowid,name,address,category2,category3,Nbhd,lat,lng
112,Budapest Delicatessen,"54 Byward Market Sq, Ottawa, ON K1N 7A2",specialty,deli meat cheese,Byward Market,45.4273124,-75.6926693
113,Bulk Barn,"197 Trainyards Drive, Ottawa, ON",grocery,large,East Industrial,45.413763,-75.64364
114,Bulk Barn,"2210 Bank St, Ottawa, ON",grocery,large,South Keys - Greenboro West,45.3556337,-75.6546138
115,Bulk Barn,"3161 Greenbank Rd, Ottawa, ON",grocery,large,Chapman Mills,45.2695671,-75.7453866
116,By Grace Food Market,"183 Montreal Rd #6e2, Vanier, ON K1L 6E2",grocery,small,Vanier North,45.435266,-75.6641002
117,ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON",farmer's market,farmer's market,Byward Market,45.4275991,-75.6929651
118,Byward Market News,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",grocery,small,Byward Market,45.427449,-75.6923646
119,ByWard Market Square,"55 ByWard Market Square, Ottawa, ON K1N 1K1",farmer's market,farmer's market,Byward Market,45.427449,-75.6923646
120,C & J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",specialty,health store,Convent Glen - Orléans Woods,45.4755541,-75.5356656
121,CafÃƒÂ© Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",specialty,bakery,Old Barrhaven West,45.2648524,-75.7773376
122,Cambridge Food Mart,"72 Cambridge St N, Ottawa, ON K1R 7A7",convenience,regular,West Centretown,45.4127557,-75.7077981
123,Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",farmer's market,farmer's market,(None),45.4952138,-75.3171513
124,Canadian Tire Gas Bar,"9040 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.546828,-75.3023562
125,Canadian Tire Gas Bar,"9020 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.5463729,-75.303034
126,Canadian Tire Gas Bar,"399, boul. Maloney Ouest, Gatineau, QC, J8P 3W1",convenience,gas station,(None),45.4847617,-75.6649555
127,Canadian Tire Gas Bar,"1775 Tenth Line Road, Orleans, ON, K1E 3X2",convenience,gas station,Fallingbrook,45.4673466,-75.4910892
128,Canadian Tire Gas Bar,"355, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4430168,-75.729778
129,Canadian Tire Gas Bar,"255, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4417629,-75.729061
130,Canadian Tire Gas Bar,"2006 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435946,-75.6057919
131,Canadian Tire Gas Bar,"2010 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435066,-75.606445
132,Canadian Tire Gas Bar,"245 Daniel Street South, Arnprior, ON, K7S 3K5",convenience,gas station,(None),45.4260424,-76.3653663
133,Canadian Tire Gas Bar,"375 Daniel Street South, Arnprior, ON, K7S 3K6",convenience,gas station,(None),45.4257504,-76.3679176
134,Canadian Tire Gas Bar,"225 Chemin d'Aylmer, Gatineau, QC, J9H 1A3",convenience,gas station,(None),45.3961707,-75.8300042
135,Canadian Tire Gas Bar,"1176 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3777065,-75.6685725
136,Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3776183,-75.66841
137,Canadian Tire Gas Bar,"1660 Merivale Road, Nepean, ON, K2G 3K4",convenience,gas station,Tanglewood,45.3434663,-75.729508
138,Canadian Tire Gas Bar,"2135 Robertson Road, Nepean, ON, K2H 5Z2",convenience,gas station,Bells Corners West,45.3218168,-75.8362395
139,Canadian Tire Gas Bar,"4776 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3185859,-75.5945576
140,Canadian Tire Gas Bar,"4778 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3180646,-75.5927572
141,Canadian Tire Gas Bar,"500 Terry Fox Drive, Kanata, ON, K2T 1C3",convenience,gas station,Kanata Lakes - Arcardia,45.3086126,-75.916439
