name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
651,651,0,2400 BOUL. SAINTE-SOPHIE,SAINTE-SOPHIE,45.8188441,-73.9024793,0,Couche-Tard,Couche-Tard,Open,quebec,90.37119504344668,CA,/store-locator/CA/sainte-sophie/2400-boul-sainte-sophie/651,"public_restrooms, atm, sloche, redbull_shop, ca_coffee",NA
159,159,0,"1000 BOUL. GRANDE-ALLÉE, BOISBRIAND, QC",BOISBRIAND,45.6142838,-73.8384447,0,Couche-Tard,Couche-Tard,Open,quebec,90.49028632441578,CA,/store-locator/CA/boisbriand/1000-boul-grande-allee-boisbriand-qc/159,"diesel, public_restrooms, ca_coffee",NA
744,744,0,20 RUE BLAINVILLE O,SAINTE-THÉRÈSE,45.6397583,-73.8431162,0,Couche-Tard,Couche-Tard,Open,quebec,90.50416394550597,CA,/store-locator/CA/sainte-therese/20-rue-blainville-o/744,"public_restrooms, atm, ca_coffee",NA
148,148,0,4001 BOUL. DAGENAIS O,LAVAL,45.5637273,-73.8298088,0,Couche-Tard,Couche-Tard,Open,quebec,90.5364519357761,CA,/store-locator/CA/laval/4001-boul-dagenais-o/148,"public_restrooms, atm, redbull_shop, ca_coffee",NA
808,808,1,451 Division Street,KINGSTON,44.241737,-76.4945091,0,Circle K,Circle K,Open,ontario,90.69964223975121,Canada,/store-ontario/Canada/kingston/451-division-street/808,"atm, coffee, polar_pop, froster, redbull_shop",NA
220,220,0,179 BOUL. HYMUS,POINTE-CLAIRE,45.4621537,-73.8171517,0,Couche-Tard,Couche-Tard,Open,quebec,90.81821832597562,CA,/store-locator/CA/pointe-claire/179-boul-hymus/220,"atm, redbull_shop, ca_coffee",NA
254,254,0,4700 BOUL. DES SOURCES,DOLLARD-DES-ORMEAUX,45.5019997,-73.8157249,0,Couche-Tard,Couche-Tard,Open,quebec,90.95101107299222,CA,/store-locator/CA/dollard-des-ormeaux/4700-boul-des-sources/254,"car_wash, diesel, public_restrooms, atm, ca_coffee",NA
129,129,0,3800 BOUL. DAGENAIS OUEST,LAVAL,45.57104,-73.820766,0,Couche-Tard,Couche-Tard,Open,quebec,91.01583368544263,CA,/store-locator/CA/laval/3800-boul-dagenais-ouest/129,"atm, ca_coffee",NA
644,644,1,490 Princess Street,KINGSTON,44.2343872,-76.4960419,0,Circle K,Circle K,Open,ontario,91.19156213107006,Canada,/store-ontario/Canada/kingston/490-princess-street/644,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
66031,66031,1,196 Ontario Street,KINGSTON,44.2291401,-76.4811187,0,Circle K,Circle K,Open,ontario,91.19942090903275,Canada,/store-ontario/Canada/kingston/196-ontario-street/66031,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
171,171,0,2 BOUL. DES ENTREPRISES,BOISBRIAND,45.6277144,-73.8254629,0,Couche-Tard,Couche-Tard,Open,quebec,91.23031076756276,CA,/store-locator/CA/boisbriand/2-boul-des-entreprises/171,"public_restrooms, atm, ca_coffee",NA
1222,1222,0,"4090, BOULEVARD DES SOURCES",DOLLARD-DES-ORMEAUX,45.4931986,-73.8072215,0,Couche-Tard,Couche-Tard,Open,quebec,91.3410778559197,CA,/store-locator/CA/dollard-des-ormeaux/4090-boulevard-des-sources/1222,"car_wash, diesel, public_restrooms, atm, roller_grill, sloche, dhl, redbull_shop, ca_coffee",NA
122,122,0,119 CH. GRANDE CÔTE,BOISBRIAND,45.61615,-73.8184614,0,Couche-Tard,Couche-Tard,Open,quebec,91.46170371480358,CA,/store-locator/CA/boisbriand/119-ch-grande-cote/122,"public_restrooms, atm, redbull_shop, ca_coffee",NA
1811,1811,1,434 Taylor-Kidd Blvd,KINGSTON,44.250414,-76.5544047,0,MACS,Mac's,Open,ontario,91.50692746204616,Canada,/store-ontario/Canada/kingston/434-taylor-kidd-blvd/1811,"car_wash, gas, diesel, atm, coffee, polar_pop, froster, redbull_shop",NA
1094,1094,0,3865 Boul. Des Sources ,Dollars des ormeaux,45.4907464,-73.8027152,0,Couche-Tard,Couche-Tard,Open,quebec,91.5539428137656,CA,/store-locator/CA/dollars-des-ormeaux/3865-boul-des-sources/1094,"public_restrooms, dhl, redbull_shop, ca_coffee",NA
819,819,1,357 Bath Road,KINGSTON,44.2397601,-76.5286916,0,Circle K,Circle K,Open,ontario,91.5777490029198,Canada,/store-ontario/Canada/kingston/357-bath-road/819,"gas, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
66032,66032,1,2814 Princess Street,KINGSTON,44.2602153,-76.5829411,0,Circle K,Circle K,Open,ontario,91.57854776172206,Canada,/store-ontario/Canada/kingston/2814-princess-street/66032,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
111,111,0,3395 BOUL. DAGENAIS O,LAVAL,45.578857,-73.807813,0,Couche-Tard,Couche-Tard,Open,quebec,91.688480455579,CA,/store-locator/CA/laval/3395-boul-dagenais-o/111,ca_coffee,NA
143,143,0,275 BOUL. SAMSON,LAVAL,45.5230387,-73.8010791,0,Couche-Tard,Couche-Tard,Open,quebec,91.72519392216257,CA,/store-locator/CA/laval/275-boul-samson/143,atm,NA
482,482,1,546 Bath Road,KINGSTON,44.2381906,-76.5383625,0,Circle K,Circle K,Open,ontario,91.89278439013226,Canada,/store-ontario/Canada/kingston/546-bath-road/482,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
536,536,1,726 Milford Drive,KINGSTON,44.2484001,-76.5807303,0,Circle K,Circle K,Open,ontario,92.24636287082133,Canada,/store-ontario/Canada/kingston/726-milford-drive/536,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
219,219,0,1856 BOUL. DES SOURCES,POINTE-CLAIRE,45.4649969,-73.786906,0,Couche-Tard,Couche-Tard,Open,quebec,92.2850817924825,CA,/store-locator/CA/pointe-claire/1856-boul-des-sources/219,"atm, redbull_shop, ca_coffee",NA
192,192,0,1170 AUTOROUTE CHOMEDEY,LAVAL,45.5336205,-73.7889383,0,Couche-Tard,Couche-Tard,Open,quebec,92.35275218968732,CA,/store-locator/CA/laval/1170-autoroute-chomedey/192,"diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA
1746,1746,1,1705 Bath Road,KINGSTON,44.2371934,-76.5717858,0,Circle K,Circle K,Open,ontario,92.7219527271818,Canada,/store-ontario/Canada/kingston/1705-bath-road/1746,"gas, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
117,117,0,290 BOUL. MARC-AURÈLE-FORTIN,LAVAL,45.6054405,-73.7900488,0,Couche-Tard,Couche-Tard,Open,quebec,92.73300705591777,CA,/store-locator/CA/laval/290-boul-marc-aurele-fortin/117,atm,NA
1234,1234,0,"5220, RUE NOTRE-DAME",LAVAL,45.5318126,-73.7790887,0,Couche-Tard,Couche-Tard,Open,quebec,92.82042605414632,CA,/store-locator/CA/laval/5220-rue-notre-dame/1234,"diesel, public_restrooms, atm, ca_coffee",NA
144,144,0,258 BOUL. SAINTE-ROSE,LAVAL,45.6121515,-73.7893055,0,Couche-Tard,Couche-Tard,Open,quebec,92.8225665880773,CA,/store-locator/CA/laval/258-boul-sainte-rose/144,"diesel, public_restrooms, atm, ca_coffee",NA
1233,1233,0,"4575, AUTOROUTE LAVAL OUEST",LAVAL,45.5652936,-73.7803315,0,Couche-Tard,Couche-Tard,Open,quebec,92.92531738521924,CA,/store-locator/CA/laval/4575-autoroute-laval-ouest/1233,"diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
M7625,M7625,0,4228 STATE ROUTE 3,STAR LAKE,44.16,-75.03382,0,Circle K,Circle K,Open,greatlakes,93.00929670926351,US,/store-locator/US/star-lake/4228-state-route-3/M7625,gas,
1317,1317,0,765 ST-JEAN BAPTISTE,STE-MARTINE,45.2618982,-73.7879809,0,Couche-Tard,Couche-Tard,Open,quebec,93.16530552414837,CA,/store-locator/CA/ste-martine/765-st-jean-baptiste/1317,"diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA
194,194,0,2520 BOUL. CURÉ LABELLE,LAVAL,45.5610024,-73.7730686,0,Couche-Tard,Couche-Tard,Open,quebec,93.25048564883032,CA,/store-locator/CA/laval/2520-boul-cure-labelle/194,"public_restrooms, atm, ca_coffee",NA
163,163,0,350 MONTÉE LESAGE,ROSEMÈRE,45.6500969,-73.7861799,0,Couche-Tard,Couche-Tard,Open,quebec,93.3193370793458,CA,/store-locator/CA/rosemere/350-montee-lesage/163,"public_restrooms, atm, ca_coffee",NA
1088,1088,0,"508, Boulvevard Sainte-Anne",Sainte-Anne-des-Plaines,45.7688358,-73.8171025,0,Couche-Tard,Couche-Tard,Open,quebec,93.42577575437332,CA,/store-locator/CA/sainte-anne-des-plaines/508-boulvevard-sainte-anne/1088,"car_wash, diesel, public_restrooms, roller_grill, sloche, redbull_shop, ca_coffee",NA
132,132,0,2100 BOUL. CURE-LABELLE,LAVAL,45.5568897,-73.7674588,0,Couche-Tard,Couche-Tard,Open,quebec,93.49824817772785,CA,/store-locator/CA/laval/2100-boul-cure-labelle/132,"atm, ca_coffee",NA
1114,1114,0,95 BOUL. DE GAULLE,Lorraine,45.6664808,-73.7821127,0,Couche-Tard,Couche-Tard,Open,quebec,93.68475307164323,CA,/store-locator/CA/lorraine/95-boul-de-gaulle/1114,"roller_grill, sloche",NA
452,452,0,110 RUE PRINCIPALE,CHÂTEAUGUAY,45.3584537,-73.7572168,0,Couche-Tard,Couche-Tard,Open,quebec,93.9502094267846,CA,/store-locator/CA/chateauguay/110-rue-principale/452,"atm, ca_coffee",NA
720,720,0,1100 RANG SAINT-FRANÇOIS,TERREBONNE,45.6893032,-73.7812249,0,Couche-Tard,Couche-Tard,Open,quebec,93.98827889423596,CA,/store-locator/CA/terrebonne/1100-rang-saint-francois/720,"diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
221,221,0,475 AV. DUMONT,DORVAL,45.4476894,-73.7510261,0,Couche-Tard,Couche-Tard,Open,quebec,94.02087055457804,CA,/store-locator/CA/dorval/475-av-dumont/221,"atm, ca_coffee",NA
1346,1346,0,"225, Chemin de la Haute-Rivière",Châteauguay,45.3455071,-73.7550022,0,Couche-Tard,Couche-Tard,Open,quebec,94.12444026912519,CA,/store-locator/CA/chateauguay/225-chemin-de-la-haute-riviere/1346,"diesel, public_restrooms, roller_grill, ca_coffee",NA
1188,1188,0,395 AVE DORVAL,DORVAL ,45.4460269,-73.7407801,0,Couche-Tard,Couche-Tard,Open,quebec,94.51812099602066,CA,/store-locator/CA/dorval/395-ave-dorval/1188,"car_wash, diesel, public_restrooms, atm, redbull_shop",NA
1235,1235,0,"6400, BOUL. DES LAURENTIDES",LAVAL,45.6376153,-73.7550179,0,Couche-Tard,Couche-Tard,Open,quebec,94.68355021020795,CA,/store-locator/CA/laval/6400-boul-des-laurentides/1235,"diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA
146,146,0,800 BOUL. CHOMEDEY (PLACE LE CORBUSIER),LAVAL,45.5444468,-73.7411777,0,Couche-Tard,Couche-Tard,Open,quebec,94.70302058126721,CA,/store-locator/CA/laval/800-boul-chomedey-place-le-corbusier/146,ca_coffee,NA
141,141,0,550 BOUL. CURE-LABELLE,LAVAL,45.5371321,-73.7402259,0,Couche-Tard,Couche-Tard,Open,quebec,94.71696206104274,CA,/store-locator/CA/laval/550-boul-cure-labelle/141,"atm, ca_coffee",NA
