Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,restaurant,nightlife,0,20180710,The Bistro,"200 Coventry Rd, Ottawa, ON K1K",45.4210305,-75.6567551,,,940,Overbrook - McArthur
food,restaurant,regular,0,20180706,THE BLACK IRISH PUB,15 SELKIRK STREET,45.43199539,-75.66893768,,,954,Vanier South
food,restaurant,regular,0,20180706,THE BLUE GARDENIA RESTAURANT,130-B12 ALBERT STREET,45.42123795,-75.69706726,,,24,Centretown
food,restaurant,nightlife,0,201806,The Blurry Pixel,"201 Queen St, Ottawa, ON K1P 5C9",45.4210075,-75.7005063,,,24,Centretown
nightlife,nightlife,nightlife,0,20180706,The Bourbon Room,"400 Dalhousie Street, Ottawa, ON K1N 9J9, Canada",45.427061,-75.689685,,,949,Sandy Hill
food,restaurant,nightlife,0,201806,THE BRASS MONKEY BAR AND BILLIARDS,"250 Greenbank Rd, Nepean, ON K2H 8X4",45.3254213,-75.7797973,,,100,Trend-Arlington
food,restaurant,nightlife,0,201806,The Brew Table,"360 Moodie Dr, Nepean, ON K2H 8G3",45.322483,-75.834256,,,7,Bells Corners West
food,restaurant,nightlife,0,201806,The Brig Pub,"23 York Street, Ottawa, ON K1N 9J6",45.427814,-75.694157,,,908,Byward Market
food,restaurant,nightlife,0,201806,The Burbs Pub & Eatery,"501 Hazeldean Rd, Kanata, ON K2L 1V6",45.2953567,-75.8928858,,,929,Katimavik - Hazeldean
food,specialty,deli meat cheese,0,20180706,THE BUTCHERY,1821 Robertson Rd,45.32901382,-75.81932831,,,6,Bells Corners East
food,restaurant,nightlife,0,201806,The Buzz Bar & Restaurant,"374 Bank Street, Ottawa, ON, Canada",45.413801,-75.695129,,,24,Centretown
food,restaurant,nightlife,0,20180710,The Buzz Kitchen + Cocktail,"374 Bank Street, Ottawa, ON K2P 1Y4",45.4137352,-75.6952756,,,24,Centretown
food,specialty,bakery,0,20180706,The Cake Shop,1200 Wellington St W,45.40016174,-75.73033142,,,47,Hintonburg - Mechanicsville
food,restaurant,regular,1,20180710,The Captain’s Boil,"290 West Hunt Club Road, Ottawa, ON K2E 0B7",45.3380255,-75.7119374,,,51,Hunt Club South Industrial
food,restaurant,regular,1,20180710,The Captain’s Boil,"354 Elgin Street, Ottawa, ON K2P 1M8",45.4154248,-75.688408,,,24,Centretown
food,restaurant,nightlife,0,201806,The Carleton Tavern,"223 Armstrong Street, Ottawa, ON K1Y 2W5, Canada",45.402026,-75.729917,,,47,Hintonburg - Mechanicsville
food,restaurant,regular,0,20180706,THE CARLINGWOOD CASUAL FAMILY RESTAURANT,2121 CARLING AVENUE,45.37346649,-75.77004242,,,931,Laurentian
food,restaurant,nightlife,0,201806,THE CHESHIRE CAT,2193 RICHARDSON SIDE ROAD,45.293673,-75.971378,,,911,Carp
food,restaurant,nightlife,0,201806,The Clarendon,"15 George, Ottawa, ON K1N 8W5, Canada",45.426601,-75.693557,,,908,Byward Market
food,restaurant,nightlife,0,201806,THE CLOCKTOWER PUB,418 Richmond Rd.,45.3900232,-75.7575362,,,931,Laurentian
food,restaurant,nightlife,0,201806,The Cock & Lion Pub,"202 Sparks Street, Ottawa, ON K1P 5T9, Canada",45.421339,-75.700702,,,24,Centretown
food,restaurant,nightlife,0,201806,THE CONROY PUB,4 LORRY GREENBERG  DRIVE,45.369455,-75.622004,,,50,Hunt Club Park
food,restaurant,regular,0,20180706,THE CORNER KITCHEN,200 KENT STREET,45.41726303,-75.70140839,,,24,Centretown
food,restaurant,nightlife,0,201806,The Cornerstone Bar & Grill,"92 Clarence Street, Ottawa, ON K1N 7B5, Canada",45.429013,-75.692923,,,908,Byward Market
food,restaurant,nightlife,0,20180706,THE CROSS BAR,1585 TENTH LINE ROAD,45.47195816,-75.492836,,,920,Fallingbrook
food,restaurant,nightlife,0,201806,The Cross on Elgin,"360 Elgin St, Ottawa, ON K2P 1M8",45.4152918,-75.6884525,,,24,Centretown
food,specialty,bakery,1,20180713,THE CUPCAKE LOUNGE,"324 Richmond Rd, Ottawa, ON K1Z 6X6",45.3922162,-75.7531117,,,958,Westboro
food,specialty,bakery,1,20180706,THE CUPCAKE LOUNGE,6 Byward Market Square,45.42856979,-75.69365692,,,908,Byward Market
food,restaurant,nightlife,0,201806,The Draft Pub,"801 King Edward Avenue, Ottawa, ON K1N 6V1, Canada",45.419247,-75.677584,,,949,Sandy Hill
food,restaurant,regular,0,20180710,The Filling Station,"1621 Woodward Drive, Ottawa, ON K2C 0P9",45.3748471,-75.747969,,,18,Carlington
nightlife,nightlife,nightlife,0,20180706,THE FIRESIDE PUB,"2092 Walkley Rd, Ottawa, ON K1G 3P5",45.3850459,-75.6259656,,,917,East Industrial
food,restaurant,nightlife,0,201806,The Fox & Feather Pub and Grill,"283 Elgin Street, Ottawa, ON K2P 1M1, Canada",45.417229,-75.689747,,,24,Centretown
food,fast food,regular,0,20180706,THE FRENCH BAKER - LE BOULANGER FRANCAIS (BENNY'S BISTRO),119 MURRAY STREET,45.4302597,-75.69265747,352,,908,Byward Market
food,restaurant,nightlife,0,20180710,The Fry,"280 Elgin Street, Ottawa, ON K2P 1M2",45.4174027,-75.6901333,,,24,Centretown
food,restaurant,regular,0,20180713,The Fry,"80 Marketplace Ave #16, Nepean, ON K2J 5G3",45.2701749,-75.7427087,,,914,Chapman Mills
food,specialty,bakery,0,20180706,THE GINGERBREAD MAN,1134 Tighe St,45.2256012,-75.68315887,,,64,Manotick
food,restaurant,nightlife,0,20180726,The Glen,"6081 Hazeldean Road, Unit 1010, Ottawa, ON K2S 1B9",45.2724542,-75.9329283,,,951,Stittsville
food,restaurant,regular,0,20180706,THE GLEN SCOTTISH RESTAURANT,1010 STITTSVILLE MAIN STREET,45.27271652,-75.93095398,,,951,Stittsville
food,restaurant,nightlife,0,20180706,THE GLUE POT PUB,340 QUEEN STREET,45.41828537,-75.70503235,,,24,Centretown
food,restaurant,nightlife,0,201806,The Grand Pizzeria and Bar,"74 George Street, Ottawa, ON K1N 5W1, Canada",45.427152,-75.691622,,,908,Byward Market
food,restaurant,regular,0,20180710,The Greek Souvlaki House,"3625 Rivergate Way, Ottawa, ON K1V 2A4",45.3457591,-75.6925443,,,927,Hunt Club Woods - Quintarra - Revelstoke
food,restaurant,regular,0,20180706,THE GREEK SOUVLAKI SHACK,258 BANK STREET,45.41611862,-75.6971283,,,24,Centretown
store,pharmacy,regular,0,20180706,The Greely Pharmacy,7163 Parkway Road,45.26380539,-75.55836487,,,925,Greely
food,fast food,coffee shop,0,20180726,The Grounds Cafe,"5703 Hazeldean Road, Ottawa, ON K2S 0P6",45.2852452,-75.9135878,,,951,Stittsville
food,restaurant,nightlife,0,201806,THE HIGHLANDER PUB,"115 Rideau St, Ottawa, ON K1N 5X1",45.4266423,-75.6913934,,,908,Byward Market
food,specialty,deli meat cheese,0,20180706,THE HILL butcher shop,2339 Ogilvie Road,45.45191956,-75.59784698,,,93,Rothwell Heights - Beacon Hill North
food,restaurant,nightlife,0,201806,The Hintonburg Public House,"1020 Wellington St W, Ottawa, ON K1Y 2X9",45.4046946,-75.7235977,,,47,Hintonburg - Mechanicsville
food,restaurant,regular,0,20180706,THE HORN OF AFRICA,364 RIDEAU STREET,45.4296608,-75.68331909,,,949,Sandy Hill
food,specialty,deli meat cheese,0,20180706,THE HOUSE OF CHEESE,34 Byward Market Square,45.42765045,-75.69296265,,,908,Byward Market
food,fast food,regular,0,20180706,THE HOUSE OF GREEK RESTAURANT,1200 PRINCE OF WALES DRIVE,45.3745842,-75.70874023,329,,28,Civic Hospital-Central Park
food,restaurant,nightlife,0,201806,"The House, La maison","191 Somerset Street East, Ottawa, ON K1N 6V1, Canada",45.422102,-75.680203,,,949,Sandy Hill
food,restaurant,nightlife,0,201806,THE JAMES STREET PUB,"390 Bank St, Ottawa, ON K2P 1Y5",45.4130742,-75.6946983,,,24,Centretown
food,specialty,bakery,1,20180703,The Joy of Gluten Free,250 Greenbank Rd,45.32442093,-75.78030396,,,100,Trend-Arlington
food,specialty,bakery,1,20180703,The Joy of Gluten Free,617 Bank St,45.40726089,-75.69042206,,,923,Glebe - Dows Lake
food,restaurant,nightlife,1,20180713,The Keg,"15 Huntmar Dr, Stittsville, ON K2S 0P6",45.2833494,-75.9128861,,,951,Stittsville
food,restaurant,regular,1,20180710,The Keg,"75 York St, Ottawa, ON K1N 5T2",45.4288981,-75.6920825,,,908,Byward Market
food,restaurant,regular,0,20180710,The Keg Manor,"529 Richmond St, Ottawa, ON K2A 0G3",45.3882393,-75.7619989,,,958,Westboro
food,restaurant,nightlife,0,20180710,The King Eddy,"45 Clarence Street, Ottawa, ON K1N 5P4",45.4288038,-75.694015,,,908,Byward Market
food,fast food,regular,0,20180706,THE KING SHAWARMA,6-1675 TENTH LINE ROAD,45.4691391,-75.49049377,136,,920,Fallingbrook
food,restaurant,nightlife,0,20180726,The Koven,"93 Murray St, Ottawa, ON K1N",45.4299231,-75.6934121,,,908,Byward Market
food,restaurant,nightlife,0,201806,The Loft Board Game Lounge,"14 Waller St, Ottawa, ON K1N 9C4",45.4270474,-75.6887529,,,949,Sandy Hill
food,specialty,farmer's market,0,20180726,The Log Farm,"670 Cedarview Road, Nepean, ON K2R 1E5",45.2964053,-75.7917806,,,926,Greenbelt
food,restaurant,regular,0,20180706,THE LONE STAR TEXAS GRILL,128 GEORGE STREET,45.42772293,-75.68988037,,,908,Byward Market
food,restaurant,nightlife,0,201806,The Lookout Bar & Bistro,"41 York Street, Ottawa, ON K1N 9J6, Canada",45.42809,-75.693515,,,908,Byward Market
store,other,sweet and treats,0,20180706,THE LOVE OF CHOCOLATE Factory,2854 St. Joseph Blvd,45.47388458,-75.51911926,,,943,Queenswood Heights
food,restaurant,nightlife,0,20180710,The Manx,"370 Elgin Street, Ottawa, ON K2P 1N1",45.4150231,-75.6881037,,,24,Centretown
store,pharmacy,regular,1,20180706,The Medicine Shoppe Pharmacy,381 Kent St,45.41278458,-75.69690704,,,24,Centretown
store,pharmacy,regular,1,20180706,The Medicine Shoppe Pharmacy,"476 Holland Ave, Ottawa, ON K1Y 0Z5",45.3897622,-75.7262094,,,28,Civic Hospital-Central Park
store,pharmacy,regular,1,20180706,The Medicine Shoppe Pharmacy,5303 Canotek Rd,45.45300293,-75.587883,,,93,Rothwell Heights - Beacon Hill North
food,restaurant,nightlife,0,201806,THE MILL TAVERN,"5544 Manotick Main St, Manotick, ON K4M 1A2",45.2250165,-75.6842093,,,64,Manotick
food,fast food,coffee shop,0,20180726,The Ministry of Coffee,"279 Elgin Street, Ottawa, ON K2P 1M1",45.4175576,-75.6899254,,,24,Centretown
food,fast food,coffee shop,0,20180706,THE MINISTRY OF COFFEE AND SOCIAL AFFAIRS,1013 WELLINGTON STREET WEST,45.40493774,-75.72364807,,,47,Hintonburg - Mechanicsville
food,restaurant,regular,1,20180629,THE MONGOLIAN VILLAGE,1980 OGILVIE ROAD,45.43264008,-75.6100769,,,912,Carson Grove - Carson Meadows
food,restaurant,regular,1,20180629,THE MONGOLIAN VILLAGE,2150 ROBERTSON ROAD,45.31967545,-75.83676147,,,7,Bells Corners West
food,restaurant,regular,0,20180706,THE MOONDOG PUB & GRILL,238 LAURIER AVENUE EAST,45.42587662,-75.68122101,,,949,Sandy Hill
food,restaurant,nightlife,0,201806,The Neighbourhood Pub,"2557 Baseline Rd, Ottawa, ON K2H 7B3",45.3417678,-75.7870458,,,54,Iris - Queensway Terrance South
food,restaurant,nightlife,0,201806,The Newfoundland Pub,"940 Montreal Rd, Ottawa, ON K1K 4E5",45.4466562,-75.627931,,,912,Carson Grove - Carson Meadows
food,restaurant,regular,0,20180710,The Noodle House,"775 Gladstone Avenue, Ottawa, ON K1R 6X6",45.406938,-75.706584,,,957,West Centretown
food,restaurant,nightlife,0,201806,The Nu Den,"1560 Triole Street, Ottawa, ON K1B 3S2, Canada",45.410548,-75.628131,,,917,East Industrial
food,fast food,regular,0,20180710,The Oasis,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",45.3874739,-75.6959848,,,17,Carleton University
food,restaurant,regular,0,20180726,The Observatory,"1385 Woodroffe Ave, Ottawa, ON K2C 0C6",45.3499148,-75.7553069,,,31,Cityview - Crestview - Meadowlands
food,grocery,small,0,20180706,The Original Herb & Spice SHOP,1310 Wellington St W,45.39858246,-75.73655701,,,55,Island Park - Wellington Village
food,fast food,regular,0,20180710,The Original Souvlaki,"1500 Carling Ave., Ottawa, ON K1Z 0A3",45.3814404,-75.740637,,,18,Carlington
